wavelengths,cal_factor,sensitivity
474.034,0.0006902158247421177,3.021502029055455
474.427,0.0006957437950481809,3.0196078042611134
474.82,0.0006892680250448328,3.072965988551232
475.213,0.0006881375981417143,3.098449458700088
475.606,1.2263886095603475e-6,1751.0354476477496
475.999,1.1970198991646763e-6,1804.4615345468037
476.391,1.1690675504721603e-6,1857.4705813538499
476.784,1.1437118245572332e-6,1908.8454369406873
477.177,1.1214434007178823e-6,1959.1373233665158
477.57,1.1024725923626181e-6,2007.9990694108503
477.962,1.0845326164159884e-6,2056.7227240882467
478.355,1.0664451470063492e-6,2103.6503899485756
478.747,1.048244927834109e-6,2151.694631267268
479.14,1.0314282074235187e-6,2198.588551374071
479.532,1.0155889924179652e-6,2245.088335910958
479.925,1.0005293670905183e-6,2291.1273895916793
480.317,9.880347836424507e-7,2336.0441705991984
480.71,9.773675145001432e-7,2378.461656818813
481.102,9.665247340223338e-7,2422.8806935797265
481.494,9.574833238954816e-7,2465.646190400655
481.886,9.491757693060253e-7,2507.4183811185585
482.278,9.399902900974835e-7,2548.230435156176
482.671,9.299140205840135e-7,2590.55303168498
483.063,9.209611882245525e-7,2630.1434045815668
483.455,9.111612620097699e-7,2670.066240366944
483.847,9.022530512311265e-7,2708.190353729631
484.238,8.941030205438972e-7,2746.681807907363
484.63,8.870740939730232e-7,2783.7291298198306
485.022,8.797059123962033e-7,2822.2749963648866
485.414,8.729115869141925e-7,2860.9766414191445
485.806,8.666595730693567e-7,2898.4347662291357
486.197,8.607613242443299e-7,2935.574229025394
486.589,8.553391924967498e-7,2971.4793968354725
486.98,8.50263987288983e-7,3006.7811377245534
487.372,8.454606409107564e-7,3041.895959075227
487.764,8.403888979079595e-7,3078.3167829903095
488.155,8.357198662177658e-7,3114.068627645367
488.546,8.315610555420155e-7,3148.3605570316295
488.938,8.273769036317987e-7,3183.419407542527
489.329,8.226328436470345e-7,3218.17292765462
489.72,8.178257272316852e-7,3253.3220479570646
490.111,8.133450606069317e-7,3287.5431673077737
490.503,8.090618965062912e-7,3321.7436610223285
490.894,8.049519966240596e-7,3355.6295594241938
491.285,8.016963919413082e-7,3388.568941587028
491.676,7.98158315172392e-7,3424.184359757313
492.067,7.955530522749755e-7,3455.550322533739
492.458,7.922618162342367e-7,3489.819203315227
492.849,7.886167421950278e-7,3525.522696329195
493.24,7.856342023769895e-7,3557.7443992809076
493.63,7.821067057346067e-7,3591.857108960885
494.021,7.785015431252781e-7,3626.634215674614
494.412,7.749562898166112e-7,3660.5356822778294
494.802,7.716649429593549e-7,3693.2222072411496
495.193,7.682774123479723e-7,3727.020128616945
495.584,7.65054918973466e-7,3760.3271060527945
495.974,7.621603685870845e-7,3792.590296889662
496.365,7.599539819565088e-7,3825.5789877199304
496.755,7.574085467967946e-7,3860.5101413067882
497.145,7.553732805965731e-7,3893.033250717108
497.536,7.531465452655725e-7,3925.4352824153048
497.926,7.510647598212945e-7,3957.2178827774887
498.316,7.484943671879732e-7,3989.990750287504
498.706,7.456666981059771e-7,4023.532858785742
499.097,7.432148478100362e-7,4056.420449167882
499.487,7.418059169867417e-7,4085.9426683057727
499.877,7.396663978126933e-7,4119.581863425463
500.267,7.374402419150957e-7,4153.237222905185
500.657,7.352006922216619e-7,4186.909983344571
501.047,7.329659574129483e-7,4220.528889241382
501.436,7.305454841172678e-7,4253.843129634777
501.826,7.284474052997543e-7,4285.476154974823
502.216,7.260509784718372e-7,4318.916055306606
502.606,7.236865436823003e-7,4352.145403233277
502.995,7.212484300957519e-7,4386.041795878435
503.385,7.193122277971796e-7,4420.778178741852
503.775,7.175084912573362e-7,4455.018146488479
504.164,7.156065641922991e-7,4488.769864245012
504.554,7.135644542378419e-7,4522.294286261912
504.943,7.115964321298053e-7,4555.7968923081025
505.332,7.095728021683924e-7,4588.542427066397
505.722,7.076500794148984e-7,4620.578464263527
506.111,7.05588962014904e-7,4654.907932479417
506.5,7.041876794025819e-7,4687.262028922297
506.89,7.026240944289848e-7,4721.063659436091
507.279,7.005325804879414e-7,4756.141261186233
507.668,6.985048748832304e-7,4790.078048538684
508.057,6.965642612393721e-7,4823.9274490753605
508.446,6.950450646006378e-7,4855.64888104585
508.835,6.935505097204788e-7,4887.49160883531
509.224,6.919601088747157e-7,4920.753789771447
509.613,6.907515611631661e-7,4952.431909690554
510.002,6.893287731976608e-7,4985.661277445117
510.39,6.876553554474234e-7,5017.0816334219
510.779,6.860297529195918e-7,5048.047547950454
511.168,6.840038142108487e-7,5083.522720783603
511.556,6.824369319546157e-7,5116.923574043966
511.945,6.811200936475292e-7,5148.51904733579
512.334,6.798733105688992e-7,5181.075322203275
512.722,6.784368515390951e-7,5215.454883610267
513.111,6.769860317766295e-7,5249.636081479427
513.499,6.756387278040652e-7,5282.212670685123
513.887,6.740584690038323e-7,5316.866183526985
514.276,6.725398337809555e-7,5350.2885850814955
514.664,6.710774795235708e-7,5383.008730882606
515.052,6.696201002409892e-7,5416.031183328701
515.44,6.68181096735939e-7,5449.217730102717
515.829,6.670571588425357e-7,5480.267759183618
516.217,6.658394953148486e-7,5512.050946451464
516.605,6.643205100603452e-7,5546.274606416305
516.993,6.626992544665468e-7,5581.753255079245
517.381,6.609968075479936e-7,5616.729152291442
517.769,6.596322077000769e-7,5648.697538036513
518.156,6.580560790463785e-7,5683.647440218894
518.544,6.568226167800145e-7,5717.215091670965
518.932,6.557382332441662e-7,5749.62131366407
519.32,6.545303662035895e-7,5782.9171002366165
519.707,6.537816849352679e-7,5812.296698655666
520.095,6.521113919807125e-7,5849.709500204888
520.483,6.508709911082012e-7,5881.844802448071
520.87,6.495769986747959e-7,5914.587000171844
521.258,6.483949916242713e-7,5946.180897807036
521.645,6.469927945073403e-7,5979.5820782276605
522.032,6.457902587972807e-7,6011.721618352703
522.42,6.446077894640592e-7,6043.505504884278
522.807,6.434608840073484e-7,6075.23775098809
523.194,6.424628553722728e-7,6105.497960370647
523.581,6.415810224491978e-7,6135.403052173794
523.969,6.403235808171275e-7,6168.717132622176
524.356,6.39086121498683e-7,6203.090997475242
524.743,6.38230118444791e-7,6233.895258489643
525.13,6.37425713992622e-7,6265.247350332439
525.517,6.366798032338913e-7,6296.878828435843
525.904,6.360984484084135e-7,6326.984854132793
526.291,6.355755586376331e-7,6355.270119363914
526.677,6.342494695445111e-7,6390.935992914836
527.064,6.334895852694471e-7,6420.79009067958
527.451,6.322417558408603e-7,6453.302740875863
527.838,6.313419219664147e-7,6482.647064810773
528.224,6.301232725447317e-7,6515.5590943939915
528.611,6.290581680990378e-7,6547.306274867481
528.997,6.279631105740203e-7,6579.396795812354
529.384,6.270514140861298e-7,6612.022673196653
529.77,6.261891303230027e-7,6643.562178292425
530.157,6.254594570751819e-7,6674.340957158536
530.543,6.247082114770176e-7,6704.802418342124
530.929,6.241062027990582e-7,6733.922424026123
531.316,6.231414682929173e-7,6765.761089741056
531.702,6.223400510481598e-7,6795.839678920303
532.088,6.217040475669755e-7,6824.859182958582
532.474,6.211168089897624e-7,6855.94263658114
532.86,6.207524950694906e-7,6884.44590752271
533.246,6.198357706497505e-7,6917.2516695086615
533.632,6.189249796209422e-7,6948.997814305161
534.018,6.18444334257911e-7,6975.65807986675
534.404,6.176883482987967e-7,7005.061339572514
534.79,6.169029878857588e-7,7035.034376941483
535.176,6.164273125280848e-7,7063.915215925759
535.562,6.163139291152052e-7,7091.488772785559
535.947,6.158019945312119e-7,7124.008116217892
536.333,6.153311810103915e-7,7153.640935347847
536.719,6.147444843207176e-7,7184.334357774524
537.104,6.143975043817551e-7,7211.999936550739
537.49,6.136249003606963e-7,7243.269867549678
537.875,6.129942639986867e-7,7273.46976312277
538.261,6.125649573282504e-7,7300.843062880858
538.646,6.120319881345218e-7,7329.191447568437
539.031,6.11439893279482e-7,7358.34379056457
539.417,6.106193748763391e-7,7388.926477508561
539.802,6.099253461974634e-7,7418.582066330905
540.187,6.092341148041356e-7,7449.454311245054
540.572,6.086745019185654e-7,7481.068531149616
540.957,6.082908285930124e-7,7510.676336069584
541.342,6.080820470996507e-7,7539.083810524644
541.727,6.077007876615978e-7,7569.734439729808
542.112,6.07481187256211e-7,7597.598221437927
542.497,6.070653485872318e-7,7626.547672205257
542.882,6.065350469866408e-7,7656.490717901945
543.267,6.063295375623328e-7,7684.8673751833985
543.652,6.061528089009238e-7,7713.810748040354
544.036,6.058877432569411e-7,7743.948136838903
544.421,6.055707611615607e-7,7773.703691953851
544.806,6.05016178278297e-7,7806.1794060884895
545.19,6.04734128917358e-7,7834.498904839323
545.575,6.04053394259511e-7,7866.70329803968
545.959,6.03308805039944e-7,7900.243370874138
546.344,6.026916598208042e-7,7931.921274008274
546.728,6.021295621571962e-7,7963.289755588168
547.112,6.019077095239344e-7,7989.977374390293
547.497,6.013680832231936e-7,8021.142247293492
547.881,6.006412637539516e-7,8054.798734980376
548.265,6.003138094157389e-7,8083.619189435687
548.649,5.999832889087296e-7,8112.824010257626
549.033,5.993705983397104e-7,8145.834369010318
549.417,5.992465981793429e-7,8172.993637889787
549.801,5.987303131980808e-7,8205.77556079893
550.185,5.984945944463978e-7,8233.551700572376
550.569,5.98303522950754e-7,8260.286546113066
550.953,5.978459587826337e-7,8290.371782263304
551.337,5.976968468816241e-7,8316.305073297126
551.721,5.971651803750934e-7,8348.187898375438
552.105,5.969249029290415e-7,8375.791252594157
552.488,5.964098302174892e-7,8407.523868818655
552.872,5.962642241811602e-7,8434.378375698932
553.256,5.960092777004892e-7,8462.916044731735
553.639,5.955132700640888e-7,8494.79571320935
554.023,5.951335382124971e-7,8525.621785567932
554.406,5.94898816013174e-7,8554.785690208982
554.789,5.946397742087457e-7,8583.853449392605
555.173,5.94365524012177e-7,8613.415820015602
555.556,5.937820499596844e-7,8646.091801826808
555.939,5.933081794023147e-7,8677.158740796543
556.323,5.926977754544104e-7,8709.840832903723
556.706,5.918257412536249e-7,8746.164881495295
557.089,5.912329950829436e-7,8778.957927852905
557.472,5.908156501387099e-7,8811.74874621617
557.855,5.905357653538677e-7,8842.742849400527
558.238,5.90341717546985e-7,8872.691069516593
558.621,5.894640837725956e-7,8913.018546351006
559.004,5.891344847487098e-7,8945.424595180491
559.387,5.888987070805618e-7,8976.202792428385
559.769,5.884579492983545e-7,9010.195417112795
560.152,5.878207578156751e-7,9047.799777266655
560.535,5.872851178395446e-7,9084.164991870559
560.918,5.866558858152185e-7,9121.870777649987
561.3,5.86108999813272e-7,9160.009688569877
561.683,5.853229208823849e-7,9202.383398104444
562.065,5.842696648879563e-7,9249.309194194397
562.448,5.833084466686777e-7,9295.95095041705
562.83,5.822824871138626e-7,9343.625743215565
563.213,5.814412281682582e-7,9389.390421144455
563.595,5.806156873946191e-7,9435.645667605184
563.977,5.795820692578096e-7,9485.354640388094
564.359,5.78779768151738e-7,9532.896538049728
564.742,5.781308689373056e-7,9578.034727234277
565.124,5.767678315545206e-7,9633.917767114792
565.506,5.75836844728784e-7,9679.598218133267
565.888,5.746717628535526e-7,9729.123090904286
566.27,5.734735307522619e-7,9780.94618048671
566.652,5.72422906171572e-7,9830.455337008096
567.034,5.712400777133098e-7,9882.99826241556
567.416,5.70224330725879e-7,9935.208600018512
567.797,5.693575316706445e-7,9984.743216216577
568.179,5.683294251382046e-7,10033.87867113454
568.561,5.668209850690704e-7,10087.54252224028
568.942,5.653426480769263e-7,10141.357848541325
569.324,5.643795003550908e-7,10190.36057025022
569.706,5.630396763065619e-7,10247.256892836836
570.087,5.620773796244919e-7,10298.022358594086
570.469,5.610633052733995e-7,10352.13093878468
570.85,5.602330255326071e-7,10403.047865857678
571.231,5.59356444129021e-7,10453.001670169595
571.613,5.581036574054171e-7,10508.26590461461
571.994,5.569813304759335e-7,10561.716206659523
572.375,5.558647502930069e-7,10609.118981903759
572.757,5.54704128361195e-7,10657.21486893762
573.138,5.535633021148271e-7,10707.58712244385
573.519,5.525991746859583e-7,10758.365800848636
573.9,5.517771382757461e-7,10806.535824377743
574.281,5.511207361874662e-7,10856.171241622724
574.662,5.505338830573978e-7,10905.847033747077
575.043,5.501332235126056e-7,10952.16081281147
575.424,5.493940386958373e-7,11000.876196613399
575.804,5.486613168377991e-7,11050.078894528806
576.185,5.480769038667777e-7,11097.205269593263
576.566,5.477158027784578e-7,11139.792164677272
576.947,5.471246014127205e-7,11187.239051697929
577.327,5.467450916812673e-7,11229.372918401608
577.708,5.45815942088345e-7,11282.701177776884
578.088,5.452667898990224e-7,11327.822158993273
578.469,5.448787198111199e-7,11368.200544606147
578.849,5.443715220369134e-7,11411.435174022832
579.23,5.440386155336174e-7,11455.327969888054
579.61,5.437904456807072e-7,11500.60502504924
579.99,5.437469982840265e-7,11541.646720466348
580.371,5.43423867550267e-7,11584.784565967399
580.751,5.430506360447862e-7,11628.86062709018
581.131,5.428081549994409e-7,11669.013152502936
581.511,5.421425816074345e-7,11714.906350213478
581.891,5.41652534347561e-7,11757.505861125443
582.271,5.409537158072588e-7,11804.044238674976
582.651,5.407013568369935e-7,11840.673386339897
583.031,5.400734419766264e-7,11886.995460073224
583.411,5.398221840559101e-7,11931.272566786945
583.791,5.397694540995248e-7,11971.133246751531
584.171,5.395127473820421e-7,12013.849635166749
584.55,5.391577793234687e-7,12056.294145483858
584.93,5.387190864810044e-7,12101.30587500496
585.31,5.38427893969935e-7,12138.961494891011
585.689,5.379257934705652e-7,12180.755510832636
586.069,5.374083024695071e-7,12224.952958321788
586.448,5.374163786449761e-7,12265.715254259694
586.828,5.373829113343146e-7,12307.591412539166
587.207,5.371934028695722e-7,12349.647728384289
587.586,5.369131353278281e-7,12391.041208972798
587.966,5.365001153464982e-7,12435.279685000869
588.345,5.362364537787293e-7,12474.835453596117
588.724,5.360240207718539e-7,12512.228000290806
589.103,5.355867568759743e-7,12556.3614393729
589.483,5.354357916599424e-7,12596.65846717161
589.862,5.351950112339817e-7,12639.499401197603
590.241,5.349986784795827e-7,12680.02227399505
590.62,5.349621388847575e-7,12717.443390041115
590.999,5.347292206025079e-7,12758.466874859563
591.377,5.346050878006021e-7,12794.456476451056
591.756,5.342863036589075e-7,12835.261467131964
592.135,5.338217557372007e-7,12878.956113600623
592.514,5.333609481197265e-7,12922.522531757684
592.893,5.331313265305075e-7,12960.927659911977
593.271,5.330354792021358e-7,12999.344792534148
593.65,5.328801460387963e-7,13040.519200671511
594.028,5.329827038982962e-7,13074.993755535284
594.407,5.325949840023609e-7,13121.91056430185
594.785,5.325906558382247e-7,13159.071414125397
595.164,5.324123525145818e-7,13200.499302719072
595.542,5.324145340312145e-7,13238.570728080265
595.92,5.326014191592638e-7,13271.659639661073
596.299,5.327347954436658e-7,13306.852526734605
596.677,5.323729678813295e-7,13354.319755852537
597.055,5.325841195338064e-7,13386.713907284768
597.433,5.324764256118743e-7,13423.016083726588
597.811,5.324191768045383e-7,13458.207958916602
598.189,5.324401146905984e-7,13492.914433384885
598.567,5.326495721160824e-7,13524.469695047
598.945,5.327388083732055e-7,13559.532907033621
599.323,5.327715150126219e-7,13597.373439214296
599.701,5.331215176423409e-7,13627.680341965086
600.079,5.331785435644834e-7,13665.322811991915
600.457,5.333536654268683e-7,13698.93682238172
600.834,5.335356590074274e-7,13732.398931276526
601.212,5.335740261101572e-7,13768.883531612266
601.589,5.338480209746447e-7,13798.339671650063
601.967,5.338397137248717e-7,13835.430759011788
602.345,5.341072252603369e-7,13866.499683414622
602.722,5.345247772361701e-7,13893.294608795657
603.099,5.345777058810649e-7,13929.424351297399
603.477,5.349394590878212e-7,13958.156015122073
603.854,5.351911509408606e-7,13989.567643520893
604.231,5.354658966494791e-7,14018.427223698287
604.609,5.356373252373935e-7,14048.991744986844
604.986,5.358701950383693e-7,14077.380800650353
605.363,5.361453142499803e-7,14102.769681167463
605.74,5.364194548465143e-7,14127.731683652572
606.117,5.36677907384192e-7,14154.426557481062
606.494,5.372808382908059e-7,14174.281729256725
606.871,5.376019608023902e-7,14201.964769798158
607.248,5.383076238476736e-7,14222.006692575102
607.625,5.390120161538416e-7,14244.01636263897
608.002,5.39577747212428e-7,14269.819114750626
608.378,5.400722690813751e-7,14288.437111868981
608.755,5.40576243385459e-7,14307.147574387662
609.132,5.410321543751732e-7,14327.218262151175
609.508,5.415618971897157e-7,14345.383604314553
609.885,5.420976383336713e-7,14362.870316321008
610.261,5.428964592765782e-7,14375.315502769308
610.638,5.43842518905552e-7,14385.696493767451
611.014,5.44502861129905e-7,14403.308727577945
611.391,5.45559435578214e-7,14415.100525439191
611.767,5.466175891350686e-7,14426.287953232619
612.143,5.476036184601253e-7,14439.193667631624
612.52,5.484760031425032e-7,14453.735798601472
612.896,5.49610181234497e-7,14461.123715482941
613.272,5.502320386677e-7,14479.391780677046
613.648,5.512409480747437e-7,14486.547257802265
614.024,5.523960514142278e-7,14489.762405652262
614.4,5.530868563260797e-7,14503.594996100517
614.776,5.541334007797334e-7,14507.990029874029
615.152,5.550905015741787e-7,14517.825494705943
615.528,5.560383255665407e-7,14530.970526496676
615.904,5.573501893464875e-7,14534.700687366985
616.279,5.584648024451614e-7,14542.14811304544
616.655,5.595035154956347e-7,14550.639325322874
617.031,5.604350359567773e-7,14561.071244927365
617.406,5.610761066926139e-7,14575.99196904205
617.782,5.617076384308701e-7,14591.431379624857
618.157,5.62416684724475e-7,14604.655650288823
618.533,5.63048382165602e-7,14619.332487343208
618.908,5.63636331392706e-7,14634.47718470343
619.284,5.640945433452101e-7,14655.878868091635
619.659,5.646565434370955e-7,14674.855841958477
620.034,5.652274954279669e-7,14693.475982472137
620.41,5.65682681179848e-7,14714.63585610235
620.785,5.659020668123336e-7,14742.185268535786
621.16,5.660873232103331e-7,14769.564197432952
621.535,5.662905042683761e-7,14795.952356214726
621.91,5.663820256712163e-7,14825.369164320366
622.285,5.665161953398312e-7,14852.91910615854
622.66,5.663409035503906e-7,14888.394573766363
623.035,5.66353095140961e-7,14918.830374350639
623.41,5.662889255822794e-7,14948.155802963605
623.785,5.657807711166988e-7,14989.935814463779
624.159,5.65619888062278e-7,15022.473145100521
624.534,5.653987851992273e-7,15056.394937938703
624.909,5.649707698591429e-7,15096.844813022957
625.283,5.64707495218896e-7,15134.345366882118
625.658,5.643688836146133e-7,15174.669652747492
626.032,5.64050890492667e-7,15214.212350134163
626.407,5.639114375960016e-7,15247.812093032495
626.781,5.632283344951506e-7,15296.531714055345
627.156,5.629914661909529e-7,15333.969159693861
627.53,5.625448967145355e-7,15379.074748516214
627.904,5.61960054799026e-7,15428.152947746888
628.279,5.615866651021365e-7,15471.495121677186
628.653,5.610609929706172e-7,15519.356458605975
629.027,5.605046889036471e-7,15567.630352539953
629.401,5.597290065237424e-7,15616.848627909752
629.775,5.588760819264724e-7,15668.66628663203
630.149,5.581135418034315e-7,15716.024835758955
630.523,5.571114041931821e-7,15766.637556674725
630.897,5.558674451712977e-7,15825.594751556497
631.271,5.549642667618066e-7,15877.140306142666
631.645,5.539820694521057e-7,15932.019769732073
632.018,5.527428550332064e-7,15994.588292950539
632.392,5.521986756698592e-7,16041.90375011564
632.766,5.51149261286886e-7,16103.607190916191
633.139,5.502359589355876e-7,16160.662088405963
633.513,5.492328267661124e-7,16217.817172938892
633.887,5.483841431445131e-7,16270.747636515065
634.26,5.473508563634167e-7,16330.730560732845
634.633,5.461256191917664e-7,16397.725053204842
635.007,5.453788638356122e-7,16450.491955823443
635.38,5.44719265267054e-7,16500.075476199894
635.753,5.436051900848216e-7,16563.93978268631
636.127,5.427947610900721e-7,16616.88406366076
636.5,5.418174892795689e-7,16672.724802712462
636.873,5.409817676540427e-7,16724.807508162467
637.246,5.400881533748113e-7,16780.581851528732
637.619,5.39457402857328e-7,16829.09878388917
637.992,5.387071034969797e-7,16881.855499596837
638.365,5.37790107345737e-7,16937.18547805052
638.738,5.370801624609364e-7,16986.191543403274
639.111,5.364256286391082e-7,17033.351582926873
639.484,5.356243943422833e-7,17084.819821945526
639.857,5.349900264568824e-7,17131.01181147637
640.229,5.345609066754332e-7,17172.813818059254
640.602,5.338950325547036e-7,17224.30345666284
640.975,5.33451103905604e-7,17268.20536410621
641.347,5.329522785065789e-7,17306.31567395011
641.72,5.322547454880741e-7,17351.685733830356
642.092,5.317599220526197e-7,17390.107571611756
642.465,5.313076566196203e-7,17428.54900265693
642.837,5.307895058246603e-7,17468.936318753214
643.209,5.30420691855775e-7,17507.13365256241
643.582,5.301058873020978e-7,17546.031511810816
643.954,5.299087639556154e-7,17581.42014646203
644.326,5.295722346667798e-7,17620.378223685082
644.698,5.295080565009457e-7,17651.241442941933
645.07,5.293015403826454e-7,17685.619495446193
645.442,5.289305112754674e-7,17721.531881931514
645.814,5.288130079667914e-7,17748.916421461705
646.186,5.284297202880614e-7,17783.908229236888
646.558,5.279798736159653e-7,17820.552294748257
646.93,5.279790134903928e-7,17842.17916220539
647.302,5.277076923433399e-7,17874.45308125471
647.674,5.275370015571952e-7,17903.250083938095
648.045,5.276833563006401e-7,17922.735810498205
648.417,5.27566379798162e-7,17952.427952703874
648.789,5.27540892487759e-7,17979.30598273651
649.16,5.276807358420873e-7,17998.82002485095
649.532,5.275546044215542e-7,18025.73175899857
649.903,5.275878628091243e-7,18047.41063105574
650.275,5.277309101867044e-7,18062.71196481211
650.646,5.274691628947454e-7,18091.10608980716
651.017,5.275287385497156e-7,18108.62726004944
651.389,5.277027013967339e-7,18123.600892255225
651.76,5.276786761832419e-7,18145.218983225608
652.131,5.280916366683296e-7,18153.043373517867
652.502,5.283621150156287e-7,18168.58486140302
652.873,5.285001637885748e-7,18188.736963159772
653.244,5.287797077758106e-7,18200.96398990098
653.615,5.292201502187487e-7,18206.223972584623
653.986,5.293055376760149e-7,18223.180468202674
654.357,5.297022562884309e-7,18222.312615827974
654.728,5.297812315955624e-7,18232.424105431517
655.099,5.300910944183982e-7,18236.831286433753
655.47,5.306427512345009e-7,18238.96046516241
655.841,5.31176142265044e-7,18241.984792005387
656.211,5.316281060117318e-7,18246.75353399162
656.582,5.319907893863967e-7,18254.256829387585
656.952,5.323756148589562e-7,18260.88554282164
657.323,5.331561085586724e-7,18250.854196243276
657.693,5.334667324781324e-7,18256.41837979669
658.064,5.338858730980522e-7,18258.014535829003
658.434,5.341922472268969e-7,18260.733550779227
658.805,5.346234035610353e-7,18259.82161372618
659.175,5.349595710975507e-7,18263.15136746375
659.545,5.354076385807286e-7,18264.83792216889
659.915,5.360029352332715e-7,18261.608469154387
660.285,5.366000372609208e-7,18257.359003185673
660.656,5.370938755215514e-7,18257.112137975724
661.026,5.374487928862624e-7,18260.385448969624
661.396,5.380128480495261e-7,18255.00702634466
661.766,5.385213815809218e-7,18251.379735231523
662.135,5.389254022751972e-7,18251.609311839893
662.505,5.393926006534507e-7,18249.51684181306
662.875,5.398630278245746e-7,18247.536339902992
663.245,5.406483380581805e-7,18237.145875798065
663.615,5.413995013480039e-7,18228.139116469054
663.984,5.418885314759862e-7,18228.720066489535
664.354,5.425177404127706e-7,18221.57353438819
664.723,5.430755134862789e-7,18216.934665767796
665.093,5.433807619386295e-7,18219.77219732722
665.462,5.440243122662562e-7,18207.25331191918
665.832,5.441844253094494e-7,18211.240088035847
666.201,5.446428197589901e-7,18206.83489048391
666.571,5.451832440863449e-7,18200.79516662039
666.94,5.456875405475941e-7,18196.39143699355
667.309,5.460979410795214e-7,18191.27275316914
667.678,5.465124849432376e-7,18185.12207373333
668.047,5.468096039682825e-7,18183.348573713494
668.417,5.47182760213135e-7,18178.531072953432
668.786,5.474153470981841e-7,18178.753056139376
669.155,5.476378683997822e-7,18182.812372605775
669.524,5.48448516141157e-7,18171.064917846423
669.892,5.490555663529053e-7,18166.299992068853
670.261,5.493721135214833e-7,18164.577352579603
670.63,5.497933891016113e-7,18155.39335302903
670.999,5.500624629109863e-7,18152.22859380575
671.368,5.502046742424963e-7,18154.437679607676
671.736,5.504102662928528e-7,18154.143891686825
672.105,5.508424700209405e-7,18148.038546086635
672.473,5.513293485814975e-7,18142.66140698735
672.842,5.516915406860605e-7,18140.81796010629
